Ensembl.ID,Gene,"Mean(zygote, 4 cell)","Mean(8 cell, morula, ICM, Epi, PrEnd)",LogFC#1,"Mean(zygote, 4 cell, 8 cell)","Mean(morula, ICM, Epi, PrEnd)",LogFC#2
ENSG00000000003,TSPAN6,0.01,19.21,10.91,0.47,23.67,5.66
ENSG00000000005,TNMD,0.02,0.01,-1.32,0.01,0.01,-0.42
ENSG00000000419,DPM1,12.67,128.99,3.35,46.03,133.05,1.53
ENSG00000000457,SCYL3,1.72,1.36,-0.33,2.03,1.04,-0.96
ENSG00000000460,C1orf112,1.00,2.89,1.54,1.29,3.15,1.29
ENSG00000000938,FGR,0.07,0.00,-Inf,0.04,0.00,-Inf
ENSG00000000971,CFH,0.00,0.00,NA,0.00,0.00,NA
ENSG00000001036,FUCA2,0.16,10.98,6.10,0.12,13.72,6.84
ENSG00000001084,GCLC,3.87,2.04,-0.92,3.13,2.14,-0.55
ENSG00000001167,NFYA,2.54,14.70,2.54,16.21,7.48,-1.12
ENSG00000001460,STPG1,6.46,0.79,-3.02,4.58,0.79,-2.54
ENSG00000001461,NIPAL3,6.67,1.04,-2.69,4.79,1.04,-2.21
ENSG00000001497,LAS1L,2.41,23.30,3.28,4.37,27.05,2.63
ENSG00000001561,ENPP4,0.02,0.21,3.41,0.03,0.26,3.26
ENSG00000001617,SEMA3F,0.08,0.27,1.85,0.12,0.29,1.25
ENSG00000001626,CFTR,3.40,0.46,-2.89,2.75,0.21,-3.69
ENSG00000001629,ANKIB1,5.84,5.03,-0.21,6.20,4.56,-0.44
ENSG00000001630,CYP51A1,0.14,1.31,3.28,0.39,1.42,1.85
ENSG00000001631,KRIT1,3.63,5.92,0.71,4.23,6.04,0.51
ENSG00000002016,RAD52,0.65,4.95,2.94,2.47,4.66,0.92
ENSG00000002330,BAD,1.58,8.67,2.46,1.55,10.47,2.76
ENSG00000002549,LAP3,3.15,19.91,2.66,15.07,15.16,0.01
ENSG00000002586,CD99,0.56,2.29,2.03,0.58,2.71,2.22
ENSG00000002587,HS3ST1,0.01,0.64,6.00,0.01,0.80,6.90
ENSG00000002726,AOC1,0.00,0.00,NA,0.00,0.00,NA
ENSG00000002745,WNT16,0.08,0.47,2.55,0.24,0.45,0.87
ENSG00000002746,HECW1,0.19,0.02,-2.98,0.13,0.03,-2.08
ENSG00000002822,MAD1L1,4.18,6.37,0.61,4.38,6.77,0.63
ENSG00000002834,LASP1,0.55,24.37,5.48,1.15,29.87,4.69
ENSG00000002919,SNX11,1.30,6.78,2.39,1.21,8.21,2.76
ENSG00000002933,TMEM176A,0.02,0.03,0.90,0.01,0.04,1.81
ENSG00000003056,M6PR,7.67,12.80,0.74,5.89,15.41,1.39
ENSG00000003096,KLHL13,0.00,0.04,Inf,0.00,0.06,Inf
ENSG00000003137,CYP26B1,0.14,0.10,-0.46,0.21,0.04,-2.39
ENSG00000003147,ICA1,9.98,0.81,-3.63,7.41,0.44,-4.07
ENSG00000003249,DBNDD1,0.06,0.23,2.06,0.05,0.28,2.58
ENSG00000003393,ALS2,4.93,3.02,-0.71,5.05,2.46,-1.04
ENSG00000003400,CASP10,0.13,1.09,3.13,0.11,1.35,3.61
ENSG00000003402,CFLAR,0.07,4.35,6.07,0.17,5.35,4.95
ENSG00000003436,TFPI,0.01,0.95,7.57,0.01,1.18,6.47
ENSG00000003509,NDUFAF7,2.32,20.53,3.15,6.90,21.64,1.65
ENSG00000003756,RBM5,1.24,8.77,2.82,5.44,7.51,0.47
ENSG00000003987,MTMR7,1.08,0.35,-1.62,0.85,0.35,-1.30
ENSG00000003989,SLC7A2,1.21,10.55,3.12,2.39,11.99,2.33
ENSG00000004059,ARF5,16.58,53.70,1.70,12.59,65.97,2.39
ENSG00000004139,SARM1,0.00,0.03,Inf,0.00,0.04,Inf
ENSG00000004142,POLDIP2,16.53,68.63,2.05,18.00,80.55,2.16
ENSG00000004399,PLXND1,0.13,3.73,4.84,0.18,4.59,4.67
ENSG00000004455,AK2,4.36,21.34,2.29,4.72,25.32,2.42
ENSG00000004468,CD38,4.50,0.66,-2.77,3.14,0.72,-2.13
ENSG00000004478,FKBP4,9.61,39.18,2.03,14.95,42.57,1.51
ENSG00000004487,KDM1A,14.44,13.49,-0.10,13.18,14.20,0.11
ENSG00000004534,RBM6,10.17,13.32,0.39,10.34,13.98,0.43
ENSG00000004660,CAMKK1,0.26,0.18,-0.55,0.21,0.20,-0.07
ENSG00000004700,RECQL,2.62,5.95,1.18,3.08,6.44,1.06
ENSG00000004766,VPS50,3.38,1.42,-1.25,2.33,1.72,-0.44
ENSG00000004776,HSPB6,0.19,0.04,-2.21,0.16,0.02,-2.83
ENSG00000004777,ARHGAP33,1.34,0.52,-1.36,1.05,0.54,-0.97
ENSG00000004779,NDUFAB1,39.85,526.54,3.72,57.08,635.29,3.48
ENSG00000004799,PDK4,0.00,0.08,Inf,0.00,0.10,Inf
ENSG00000004809,SLC22A16,0.02,0.05,1.38,0.02,0.06,1.91
ENSG00000004838,ZMYND10,0.01,0.04,1.93,0.01,0.05,2.83
ENSG00000004846,ABCB5,0.01,0.12,4.63,0.01,0.15,3.91
ENSG00000004848,ARX,0.54,1.14,1.08,0.57,1.27,1.15
ENSG00000004864,SLC25A13,18.53,10.90,-0.77,13.15,13.03,-0.01
ENSG00000004866,ST7,1.08,2.17,1.01,0.85,2.61,1.61
ENSG00000004897,CDC27,22.78,8.22,-1.47,17.18,8.77,-0.97
ENSG00000004939,SLC4A1,0.05,0.26,2.37,0.32,0.11,-1.62
ENSG00000004948,CALCR,0.27,0.75,1.47,0.18,0.94,2.38
ENSG00000004961,HCCS,12.33,53.85,2.13,25.24,54.54,1.11
ENSG00000004975,DVL2,3.76,4.75,0.34,2.98,5.59,0.91
ENSG00000005001,PRSS22,0.04,0.24,2.78,0.04,0.29,2.85
ENSG00000005007,UPF1,3.15,7.18,1.19,5.44,6.47,0.25
ENSG00000005020,SKAP2,28.42,4.20,-2.76,19.87,4.56,-2.12
ENSG00000005022,SLC25A5,341.08,690.58,1.02,323.62,791.05,1.29
ENSG00000005059,MCUB,2.67,9.88,1.89,2.22,12.03,2.44
ENSG00000005073,HOXA11,0.00,0.08,Inf,0.00,0.10,Inf
ENSG00000005075,POLR2J,40.81,57.59,0.50,36.15,65.29,0.85
ENSG00000005100,DHX33,11.64,10.21,-0.19,10.40,10.78,0.05
ENSG00000005102,MEOX1,0.00,0.04,Inf,0.06,0.00,-Inf
ENSG00000005108,THSD7A,21.66,0.27,-6.33,14.80,0.07,-7.78
ENSG00000005156,LIG3,2.56,4.43,0.79,1.92,5.38,1.49
ENSG00000005175,RPAP3,8.79,9.05,0.04,7.57,10.03,0.41
ENSG00000005187,ACSM3,0.03,0.26,3.13,0.09,0.28,1.68
ENSG00000005189,AC004381.6,0.38,2.00,2.41,1.36,1.66,0.29
ENSG00000005194,CIAPIN1,32.20,30.51,-0.08,26.61,34.28,0.37
ENSG00000005206,SPPL2B,0.34,1.13,1.76,0.25,1.40,2.46
ENSG00000005238,FAM214B,0.09,3.42,5.25,3.12,1.98,-0.65
ENSG00000005243,COPZ2,0.00,0.00,Inf,0.00,0.01,Inf
ENSG00000005249,PRKAR2B,4.95,1.06,-2.22,3.67,1.05,-1.80
ENSG00000005302,MSL3,17.42,5.93,-1.56,14.08,5.55,-1.34
ENSG00000005339,CREBBP,6.64,4.29,-0.63,6.43,3.86,-0.73
ENSG00000005379,TSPOAP1,0.02,0.01,-0.74,0.01,0.02,0.17
ENSG00000005381,MPO,0.00,0.14,Inf,0.00,0.17,Inf
ENSG00000005421,PON1,3.56,0.21,-4.08,2.68,0.03,-6.48
ENSG00000005436,GCFC2,0.83,5.03,2.61,2.25,5.02,1.16
ENSG00000005448,WDR54,1.63,2.86,0.81,1.28,3.43,1.42
ENSG00000005469,CROT,0.24,0.31,0.40,0.27,0.30,0.16
ENSG00000005471,ABCB4,25.39,0.17,-7.21,17.18,0.02,-9.58
ENSG00000005483,KMT2E,15.61,5.40,-1.53,14.05,4.02,-1.80
ENSG00000005486,RHBDD2,0.91,13.41,3.88,2.18,15.58,2.84
ENSG00000005513,SOX8,0.04,0.02,-0.67,0.02,0.03,0.24
ENSG00000005700,IBTK,0.22,4.46,4.38,0.29,5.47,4.22
ENSG00000005801,ZNF195,7.87,13.26,0.75,8.62,14.04,0.70
ENSG00000005810,MYCBP2,1.99,1.79,-0.15,1.77,1.90,0.10
ENSG00000005812,FBXL3,3.30,3.64,0.14,5.96,1.73,-1.79
ENSG00000005844,ITGAL,0.09,0.65,2.85,0.66,0.36,-0.87
ENSG00000005882,PDK2,1.12,0.08,-3.74,0.77,0.09,-3.09
ENSG00000005884,ITGA3,0.35,0.06,-2.50,0.24,0.07,-1.80
ENSG00000005889,ZFX,0.54,2.43,2.17,1.41,2.25,0.68
ENSG00000005893,LAMP2,6.45,20.58,1.67,5.43,24.87,2.19
ENSG00000005961,ITGA2B,0.05,0.40,3.17,0.09,0.46,2.29
ENSG00000005981,ASB4,0.00,0.00,NA,0.00,0.00,NA
ENSG00000006007,GDE1,0.31,35.01,6.84,2.77,41.84,3.92
ENSG00000006015,C19orf60,0.17,10.77,5.99,0.35,13.29,5.25
ENSG00000006016,CRLF1,0.03,0.70,4.55,0.54,0.49,-0.16
ENSG00000006025,OSBPL7,0.02,0.10,2.38,0.02,0.13,2.94
ENSG00000006042,TMEM98,0.01,0.32,5.00,0.01,0.40,5.91
ENSG00000006047,YBX2,13.42,0.88,-3.92,9.71,0.53,-4.20
ENSG00000006059,KRT33A,0.00,0.00,NA,0.00,0.00,NA
ENSG00000006062,MAP3K14,0.18,0.42,1.22,0.23,0.44,0.91
ENSG00000006071,ABCC8,0.02,0.01,-1.00,0.03,0.00,-3.42
ENSG00000006116,CACNG3,0.00,0.15,Inf,0.08,0.14,0.82
ENSG00000006118,TMEM132A,0.00,0.37,Inf,0.00,0.46,Inf
ENSG00000006125,AP2B1,21.19,19.52,-0.12,15.82,23.13,0.55
ENSG00000006128,TAC1,0.03,0.30,3.33,0.37,0.11,-1.73
ENSG00000006194,ZNF263,0.02,6.84,8.83,4.64,5.09,0.13
ENSG00000006210,CX3CL1,0.27,0.03,-3.05,0.18,0.04,-2.14
ENSG00000006282,SPATA20,0.03,0.06,1.21,0.03,0.07,1.29
ENSG00000006283,CACNA1G,0.04,0.03,-0.22,0.07,0.01,-3.74
ENSG00000006327,TNFRSF12A,0.72,43.95,5.94,18.49,41.43,1.16
ENSG00000006377,DLX6,7.77,3.71,-1.07,6.05,3.99,-0.60
ENSG00000006432,MAP3K9,2.66,0.91,-1.55,2.22,0.80,-1.47
ENSG00000006451,RALA,56.23,18.60,-1.60,38.58,22.44,-0.78
ENSG00000006453,BAIAP2L1,49.53,19.73,-1.33,39.46,19.83,-0.99
ENSG00000006459,KDM7A,9.42,3.82,-1.30,8.44,3.16,-1.42
ENSG00000006468,ETV1,0.34,0.88,1.40,0.25,1.08,2.11
ENSG00000006530,AGK,34.98,4.05,-3.11,24.19,4.41,-2.45
ENSG00000006534,ALDH3B1,0.02,0.01,-0.32,0.01,0.02,0.58
ENSG00000006555,TTC22,0.00,0.03,Inf,0.00,0.04,Inf
ENSG00000006576,PHTF2,14.90,3.77,-1.98,11.61,3.46,-1.75
ENSG00000006606,CCL26,0.27,5.02,4.24,0.45,6.08,3.77
ENSG00000006607,FARP2,1.71,0.85,-1.01,1.65,0.68,-1.28
ENSG00000006611,USH1C,0.00,0.13,Inf,0.04,0.13,1.61
ENSG00000006625,GGCT,33.49,19.49,-0.78,24.62,22.64,-0.12
ENSG00000006634,DBF4,22.73,17.20,-0.40,22.91,15.68,-0.55
ENSG00000006638,TBXA2R,0.04,0.18,2.39,0.02,0.23,3.30
ENSG00000006652,IFRD1,3.15,20.00,2.67,14.31,15.84,0.15
ENSG00000006659,LGALS14,0.00,0.00,Inf,0.00,0.01,Inf
ENSG00000006695,COX10,20.10,16.65,-0.27,17.82,17.50,-0.03
ENSG00000006704,GTF2IRD1,0.66,1.20,0.86,0.58,1.40,1.28
ENSG00000006712,PAF1,16.19,31.96,0.98,17.79,34.69,0.96
ENSG00000006715,VPS41,1.74,2.46,0.50,1.45,2.86,0.97
ENSG00000006740,ARHGAP44,1.70,0.62,-1.46,1.19,0.73,-0.70
ENSG00000006744,ELAC2,10.29,29.67,1.53,12.70,32.71,1.36
ENSG00000006747,SCIN,5.05,0.11,-5.49,3.46,0.07,-5.68
ENSG00000006756,ARSD,0.11,0.18,0.81,0.16,0.16,0.02
ENSG00000006757,PNPLA4,16.62,6.27,-1.41,11.97,7.17,-0.74
ENSG00000006788,MYH13,0.93,0.26,-1.82,0.67,0.29,-1.20
ENSG00000006831,ADIPOR2,17.84,13.86,-0.36,24.51,7.86,-1.64
ENSG00000006837,CDKL3,0.22,0.34,0.64,0.30,0.32,0.10
ENSG00000007001,UPP2,0.46,0.04,-3.39,0.38,0.00,-7.24
ENSG00000007038,PRSS21,0.35,1.01,1.56,0.23,1.27,2.44
ENSG00000007047,MARK4,6.62,1.14,-2.54,5.44,0.65,-3.07
ENSG00000007062,PROM1,0.09,22.36,8.04,0.17,27.86,7.33
ENSG00000007080,CCDC124,6.22,126.97,4.35,9.41,154.77,4.04
ENSG00000007129,CEACAM21,0.00,0.15,Inf,0.05,0.14,1.42
ENSG00000007168,PAFAH1B1,7.68,12.51,0.70,11.24,11.04,-0.03
ENSG00000007171,NOS2,1.27,1.30,0.04,0.90,1.59,0.83
ENSG00000007174,DNAH9,2.48,0.11,-4.49,1.77,0.05,-5.15
ENSG00000007202,KIAA0100,1.87,4.37,1.23,1.49,5.28,1.82
ENSG00000007216,SLC13A2,0.04,0.03,-0.43,0.02,0.03,0.48
ENSG00000007237,GAS7,13.17,3.21,-2.03,9.35,3.59,-1.38
ENSG00000007255,TRAPPC6A,2.31,4.47,0.95,2.12,5.14,1.28
ENSG00000007264,MATK,0.97,0.19,-2.33,0.75,0.16,-2.23
ENSG00000007306,CEACAM7,0.04,0.04,0.33,0.02,0.06,1.24
ENSG00000007312,CD79B,0.10,0.03,-1.87,0.06,0.03,-0.96
ENSG00000007314,SCN4A,0.00,0.04,Inf,0.04,0.02,-0.70
ENSG00000007341,ST7L,0.68,1.20,0.83,0.61,1.38,1.18
ENSG00000007350,TKTL1,0.68,49.80,6.19,7.98,56.61,2.83
ENSG00000007372,PAX6,0.03,0.13,2.38,0.06,0.13,1.23
ENSG00000007376,RPUSD1,0.72,23.88,5.05,1.53,29.07,4.24
ENSG00000007384,RHBDF1,1.54,1.09,-0.50,1.09,1.31,0.26
ENSG00000007392,LUC7L,0.26,16.45,6.01,9.33,13.69,0.55
ENSG00000007402,CACNA2D2,2.74,1.59,-0.79,2.04,1.83,-0.16
ENSG00000007516,BAIAP3,0.40,0.43,0.12,0.42,0.42,-0.01
ENSG00000007520,TSR3,0.73,12.07,4.06,0.63,14.98,4.57
ENSG00000007541,PIGQ,0.10,0.94,3.31,0.07,1.18,4.14
ENSG00000007545,CRAMP1,2.66,2.02,-0.40,2.51,1.97,-0.35
ENSG00000007866,TEAD3,13.20,5.66,-1.22,9.53,6.53,-0.55
ENSG00000007908,SELE,0.00,0.00,NA,0.00,0.00,NA
ENSG00000007923,DNAJC11,3.57,15.15,2.09,2.76,18.65,2.76
ENSG00000007933,FMO3,0.08,0.04,-0.86,0.08,0.04,-1.19
ENSG00000007944,MYLIP,213.98,7.02,-4.93,148.14,4.66,-4.99
ENSG00000007952,NOX1,0.01,0.09,4.23,0.00,0.12,5.14
ENSG00000007968,E2F2,0.08,1.59,4.31,0.07,1.97,4.75
ENSG00000008018,PSMB1,13.69,225.79,4.04,39.91,259.14,2.70
ENSG00000008056,SYN1,0.07,0.05,-0.27,0.10,0.03,-2.00
ENSG00000008083,JARID2,137.10,15.53,-3.14,94.27,17.26,-2.45
ENSG00000008086,CDKL5,2.53,0.53,-2.27,1.87,0.52,-1.86
ENSG00000008118,CAMK1G,0.01,0.00,-Inf,0.01,0.00,-Inf
ENSG00000008128,CDK11A,2.16,1.54,-0.48,2.17,1.38,-0.66
ENSG00000008130,NADK,1.31,4.27,1.71,0.99,5.25,2.41
ENSG00000008196,TFAP2B,11.96,0.24,-5.66,8.24,0.09,-6.48
ENSG00000008197,TFAP2D,7.88,0.01,-9.94,5.26,0.01,-10.04
ENSG00000008226,DLEC1,0.85,0.29,-1.54,0.79,0.20,-1.98
ENSG00000008256,CYTH3,2.62,8.35,1.67,8.78,5.17,-0.76
ENSG00000008277,ADAM22,0.08,0.03,-1.23,0.08,0.03,-1.62
ENSG00000008282,SYPL1,16.74,33.22,0.99,20.45,34.55,0.76
ENSG00000008283,CYB561,0.18,8.50,5.56,0.69,10.20,3.88
ENSG00000008294,SPAG9,2.35,3.07,0.39,2.28,3.30,0.53
ENSG00000008300,CELSR3,0.10,0.36,1.91,0.06,0.45,2.81
ENSG00000008311,AASS,1.35,3.18,1.24,1.13,3.80,1.75
ENSG00000008323,PLEKHG6,0.26,0.95,1.87,0.17,1.19,2.78
ENSG00000008324,SS18L2,28.92,56.17,0.96,25.31,65.69,1.38
ENSG00000008382,MPND,1.53,2.39,0.65,2.91,1.57,-0.89
ENSG00000008394,MGST1,0.54,3.64,2.75,0.38,4.53,3.58
ENSG00000008405,CRY1,27.07,5.01,-2.43,18.47,5.95,-1.63
ENSG00000008438,PGLYRP1,0.14,0.03,-2.08,0.09,0.04,-1.17
ENSG00000008441,NFIX,0.21,0.05,-2.09,0.14,0.06,-1.28
ENSG00000008513,ST3GAL1,3.95,11.28,1.52,3.94,13.12,1.74
ENSG00000008516,MMP25,0.09,0.06,-0.54,0.08,0.06,-0.47
ENSG00000008517,IL32,0.00,3.24,Inf,0.00,4.05,Inf
ENSG00000008710,PKD1,0.11,0.53,2.34,0.25,0.53,1.08
ENSG00000008735,MAPK8IP2,0.68,0.37,-0.88,0.67,0.29,-1.22
ENSG00000008838,MED24,2.68,6.78,1.34,4.28,6.61,0.63
ENSG00000008853,RHOBTB2,1.93,0.78,-1.31,1.39,0.90,-0.64
ENSG00000008869,HEATR5B,3.67,3.44,-0.09,3.31,3.65,0.14
ENSG00000008952,SEC62,25.63,18.60,-0.46,20.48,20.70,0.02
ENSG00000008988,RPS20,394.68,353.23,-0.16,506.39,259.09,-0.97
ENSG00000009307,CSDE1,278.79,79.54,-1.81,208.37,82.54,-1.34
ENSG00000009335,UBE3C,2.05,7.18,1.81,4.12,6.91,0.75
ENSG00000009413,REV3L,2.27,2.96,0.39,3.05,2.54,-0.27
ENSG00000009694,TENM1,0.13,0.09,-0.54,0.19,0.03,-2.95
ENSG00000009709,PAX7,0.13,0.01,-3.64,0.08,0.01,-2.74
ENSG00000009724,MASP2,0.03,1.59,5.99,1.18,1.11,-0.09
ENSG00000009765,IYD,0.03,0.01,-2.32,0.03,0.00,-Inf
ENSG00000009780,FAM76A,15.41,14.84,-0.05,13.67,15.99,0.23
ENSG00000009790,TRAF3IP3,0.04,0.01,-2.32,0.03,0.01,-1.42
ENSG00000009830,POMT2,0.32,1.74,2.47,0.29,2.12,2.85
ENSG00000009844,VTA1,7.61,18.86,1.31,7.66,21.64,1.50
ENSG00000009950,MLXIPL,2.29,0.29,-3.00,1.83,0.13,-3.82
ENSG00000009954,BAZ1B,56.75,17.91,-1.66,48.43,14.43,-1.75
ENSG00000010017,RANBP9,50.60,8.84,-2.52,38.27,7.64,-2.32
ENSG00000010030,ETV7,0.27,0.13,-1.01,0.32,0.06,-2.43
ENSG00000010072,SPRTN,5.84,5.82,0.00,7.53,4.54,-0.73
ENSG00000010165,METTL13,9.12,24.72,1.44,11.14,27.11,1.28
ENSG00000010219,DYRK4,1.55,1.28,-0.28,1.23,1.45,0.24
ENSG00000010244,ZNF207,5.68,21.22,1.90,16.01,17.35,0.12
ENSG00000010256,UQCRC1,5.56,140.00,4.66,7.39,172.23,4.54
ENSG00000010270,STARD3NL,11.62,4.04,-1.52,8.18,4.73,-0.79
ENSG00000010278,CD9,21.39,121.19,2.50,26.24,142.50,2.44
ENSG00000010282,HHATL,0.00,0.02,Inf,0.00,0.02,Inf
ENSG00000010292,NCAPD2,5.53,15.49,1.49,10.51,14.25,0.44
ENSG00000010295,IFFO1,2.32,0.63,-1.88,1.64,0.72,-1.20
ENSG00000010310,GIPR,0.00,0.70,Inf,0.25,0.68,1.45
ENSG00000010318,PHF7,5.58,2.70,-1.05,5.00,2.42,-1.05
ENSG00000010319,SEMA3G,0.09,0.00,-4.41,0.06,0.01,-3.50
ENSG00000010322,NISCH,5.77,2.86,-1.01,4.06,3.41,-0.25
ENSG00000010327,STAB1,0.10,0.01,-2.76,0.08,0.01,-3.35
ENSG00000010361,FUZ,0.26,2.27,3.13,0.19,2.83,3.87
ENSG00000010379,SLC6A13,0.03,0.12,2.02,0.15,0.05,-1.55
ENSG00000010404,IDS,3.75,0.29,-3.68,2.75,0.17,-4.00
ENSG00000010438,PRSS3,0.05,0.90,4.17,0.04,1.13,4.94
ENSG00000010539,ZNF200,29.75,11.26,-1.40,25.63,9.73,-1.40
ENSG00000010610,CD4,0.03,0.01,-2.06,0.02,0.01,-1.15
ENSG00000010626,LRRC23,0.22,1.67,2.96,0.75,1.64,1.13
ENSG00000010671,BTK,0.03,1.40,5.54,0.82,1.15,0.48
ENSG00000010704,HFE,0.00,0.04,Inf,0.03,0.03,0.04
ENSG00000010803,SCMH1,0.37,0.55,0.58,0.27,0.67,1.32
ENSG00000010810,FYN,23.83,2.99,-3.00,18.98,1.41,-3.75
ENSG00000010818,HIVEP2,0.00,0.11,Inf,0.14,0.04,-2.03
ENSG00000010932,FMO1,0.03,0.25,3.33,0.06,0.28,2.14
ENSG00000011007,TCEB3,19.61,38.70,0.98,25.46,39.08,0.62
ENSG00000011009,LYPLA2,2.60,26.21,3.33,2.31,32.33,3.81
ENSG00000011021,CLCN6,0.31,1.27,2.06,0.29,1.53,2.39
ENSG00000011028,MRC2,0.18,0.82,2.18,0.17,0.99,2.57
ENSG00000011052,NME1-NME2,0.25,0.39,0.65,0.32,0.38,0.25
ENSG00000011083,SLC6A7,0.02,0.03,1.09,0.01,0.04,2.00
ENSG00000011105,TSPAN9,1.39,3.99,1.52,1.21,4.77,1.98
ENSG00000011114,BTBD7,2.46,2.30,-0.10,3.18,1.72,-0.89
ENSG00000011132,APBA3,0.14,4.12,4.93,0.22,5.05,4.50
ENSG00000011143,MKS1,6.86,8.42,0.30,5.19,10.06,0.96
ENSG00000011198,ABHD5,1.99,15.10,2.92,4.35,16.60,1.93
ENSG00000011201,ANOS1,0.92,0.17,-2.44,0.76,0.10,-2.89
ENSG00000011243,AKAP8L,0.57,1.25,1.15,0.65,1.37,1.08
ENSG00000011258,MBTD1,2.18,1.75,-0.31,2.27,1.58,-0.53
ENSG00000011260,UTP18,3.50,54.02,3.95,29.53,47.13,0.67
ENSG00000011275,RNF216,15.78,7.63,-1.05,11.98,8.44,-0.51
ENSG00000011295,TTC19,0.35,6.65,4.25,0.92,7.80,3.08
ENSG00000011304,PTBP1,13.24,76.18,2.52,34.97,75.62,1.11
ENSG00000011332,DPF1,5.36,1.31,-2.03,3.69,1.56,-1.24
ENSG00000011347,SYT7,0.06,0.34,2.49,0.06,0.41,2.68
ENSG00000011376,LARS2,13.40,8.43,-0.67,11.36,8.72,-0.38
ENSG00000011405,PIK3C2A,34.89,6.24,-2.48,25.80,5.90,-2.13
ENSG00000011422,PLAUR,0.18,1.67,3.25,0.43,1.85,2.12
ENSG00000011426,ANLN,25.69,12.47,-1.04,19.85,13.55,-0.55
ENSG00000011451,WIZ,3.52,2.02,-0.80,3.71,1.50,-1.31
ENSG00000011454,RABGAP1,19.92,1.94,-3.36,14.37,1.61,-3.16
ENSG00000011465,DCN,0.00,0.00,NA,0.00,0.00,NA
ENSG00000011478,QPCTL,0.21,2.87,3.81,0.18,3.55,4.30
ENSG00000011485,PPP5C,0.16,9.27,5.86,0.28,11.46,5.36
ENSG00000011523,CEP68,3.27,1.98,-0.72,2.29,2.40,0.06
ENSG00000011566,MAP4K3,8.60,3.21,-1.42,6.26,3.62,-0.79
ENSG00000011590,ZBTB32,0.01,0.08,2.93,0.01,0.10,3.83
ENSG00000011600,TYROBP,0.03,0.18,2.58,0.05,0.21,2.14
ENSG00000011638,TMEM159,0.28,17.06,5.93,15.13,10.11,-0.58
ENSG00000011677,GABRA3,0.00,0.12,Inf,0.06,0.11,0.84
ENSG00000012048,BRCA1,15.81,4.39,-1.85,11.54,4.73,-1.29
ENSG00000012061,ERCC1,0.70,4.13,2.57,1.52,4.38,1.53
ENSG00000012124,CD22,0.02,0.19,3.66,0.01,0.24,4.57
ENSG00000012171,SEMA3B,0.02,0.27,3.78,0.02,0.34,4.08
ENSG00000012174,MBTPS2,1.13,0.60,-0.92,0.79,0.72,-0.13
ENSG00000012211,PRICKLE3,0.01,0.88,6.45,0.15,0.99,2.75
ENSG00000012223,LTF,0.14,0.00,-Inf,0.09,0.00,-Inf
ENSG00000012232,EXTL3,6.41,4.65,-0.46,6.16,4.40,-0.49
ENSG00000012504,NR1H4,5.89,0.57,-3.38,4.62,0.19,-4.60
ENSG00000012660,ELOVL5,53.25,20.63,-1.37,42.58,20.48,-1.06
ENSG00000012779,ALOX5,0.07,1.48,4.41,0.05,1.86,5.31
ENSG00000012817,KDM5D,0.00,1.64,Inf,0.03,2.03,5.93
ENSG00000012822,CALCOCO1,2.10,1.28,-0.71,1.69,1.38,-0.29
ENSG00000012963,UBR7,15.29,18.82,0.30,25.84,11.79,-1.13
ENSG00000012983,MAP4K5,1.68,1.87,0.15,1.79,1.83,0.03
ENSG00000013016,EHD3,0.81,0.92,0.19,0.88,0.89,0.02
ENSG00000013275,PSMC4,61.38,218.51,1.83,116.60,216.38,0.89
ENSG00000013288,MAN2B2,0.09,0.73,3.02,0.08,0.90,3.43
ENSG00000013293,SLC7A14,0.04,0.01,-2.00,0.04,0.01,-2.87
ENSG00000013297,CLDN11,0.09,0.69,2.93,0.09,0.84,3.22
ENSG00000013306,SLC25A39,5.52,146.78,4.73,14.88,175.08,3.56
ENSG00000013364,MVP,54.70,13.24,-2.05,52.32,4.66,-3.49
ENSG00000013374,NUB1,11.29,8.61,-0.39,7.99,10.41,0.38
ENSG00000013375,PGM3,3.59,9.22,1.36,5.11,9.49,0.89
ENSG00000013392,RWDD2A,0.29,1.71,2.59,0.48,1.92,1.99
ENSG00000013441,CLK1,20.34,30.15,0.57,33.52,22.71,-0.56
ENSG00000013503,POLR3B,14.52,6.70,-1.12,11.51,7.00,-0.72
ENSG00000013523,ANGEL1,1.42,2.68,0.92,1.16,3.19,1.46
ENSG00000013561,RNF14,43.75,9.06,-2.27,30.62,10.23,-1.58
ENSG00000013563,DNASE1L1,0.03,0.13,2.33,0.02,0.16,3.24
ENSG00000013573,DDX11,4.47,1.32,-1.76,3.14,1.52,-1.05
ENSG00000013583,HEBP1,0.11,2.76,4.72,0.43,3.18,2.88
ENSG00000013588,GPRC5A,0.17,6.67,5.29,0.18,8.29,5.50
ENSG00000013619,MAMLD1,0.01,0.01,0.49,0.01,0.01,-0.09
ENSG00000013725,CD6,0.04,0.01,-1.32,0.03,0.01,-1.74
ENSG00000013810,TACC3,120.72,31.08,-1.96,88.48,32.85,-1.43
ENSG00000014123,UFL1,32.00,4.86,-2.72,22.48,5.22,-2.11
ENSG00000014138,POLA2,6.27,5.61,-0.16,4.58,6.72,0.55
ENSG00000014164,ZC3H3,6.21,6.77,0.13,4.67,8.06,0.79
ENSG00000014216,CAPN1,0.72,8.76,3.60,0.58,10.88,4.24
ENSG00000014257,ACPP,0.01,0.94,6.55,0.01,1.18,7.46
ENSG00000014641,MDH1,9.84,59.71,2.60,7.66,73.81,3.27
